Kapitel;Datenfeld;"Pflicht
(jeweils bezogen auf das zugehörige Kapitel)";MIND-Kapitel;DIVI-Kapitel;Zugehörigkeit DIVI-MIND;Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Ausprägung;"MIND-
Teildatensatz Notarzt (NA) Rettungsdienst (RD)";Erläuterungen;Hinweise /Plausibilitäten/Abhängigkeiten;techn. Default MIND;In FHIR umgesetzt?;Anmerkung zur Umsetzung
Kapitel: Strukturdaten;Kapitel: Strukturdaten;;;;;;;;;dieses Kapitel ist immer Pflicht;;;
Strukturdaten;Protokolltyp;Ja;Strukturdaten;Dokument-Header;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Typ des verwendeten Protokolls:
• NA für Notarztdokumentation
• RD für Rettungsdienstdokumentation
Sollte in Stammdaten fest dem Rettungsmittel/Personal zugewiesen werden.
Beim Wechsel von Dokumentations-Pads zwischen Fahrzeugen muss unbedingt darauf geachtet werden, dass das korrekte Rettungsmittel mit der ihm zugeordneten Projekt-ID und der richtige Protokolltyp ausgewählt sind.";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen z.B. ProjektID, Rettungsmitteltyp, Einsatzart, Qualifikation
Personal.";;x;"Composition.type mit ValueSet Mind-Protokolltyp-VS (required; NA=na, RD=rd). Abweichung: Composition.title hardcodiert 'MIND 7.1 Rettungsdienstdokumentation', keine NA/RD-Differenzierung."
Strukturdaten;Standortkennung;Nein;Strukturdaten;EinsatztechnischeDaten;DM;E;"Amtlicher Gemeindeschlüssel des RM-Standortes
BL-LK (Bundesland-Landkreis-Rettungswache; Bundesland und Landkreis jeweils nach Vorgaben des Gemeindeschlüssels)
Werteliste siehe Tabellenblatt Codes";NA + RD;Amtlicher Gemeindeschlüssel des Rettungsmittel-Standorts.;;-2;x;"Encounter.identifier[standortkennung] mit NamingSystem mind-standortkennung; Invariante mind-standortkennung-format ^[0-9]{8}$. MIND-Default -2 nicht abbildbar."
Strukturdaten;ProjektID;Ja;Strukturdaten;;M;E;ProjektID;NA + RD;"Standortspezifische Nummer, die von einer zentralen Stelle vergeben und verwaltet wird. Standortverantwortliche sind aufgefordert, sich dort um eine ID-Zuteilung zu bemühen.
Einmalig in Stammdaten einzupflegen.";Prüfung auf Plausibilität, z.B. Leitstelle, Einsatzart, Rettungsmitteltyp, Protokolltyp.;;x;"Encounter.identifier[projektid] mit NamingSystem mind-projektid; value 1..1."
Strukturdaten;Leitstelle;Ja;Strukturdaten;PatStammdaten;DM;E;Landkreiskennung der Heimatleitstelle  (z.B. S für Stuttgart, OG für Offenburg);NA + RD;"Für einen Standort immer konstant und sollte automatisiert beim Export zugeordnet werden.
Einmalig in Stammdaten einzupflegen.";Prüfung auf Plausibilität, z.B. ProjektID und Leitstelle.;;x;"Encounter.identifier[leitstelle] mit NamingSystem mind-leitstelle; value 1..1."
Strukturdaten;Softwarekennung;"siehe Hinweise/ Plausibilitäten/
Abhängigkeiten";Strukturdaten;;M;E;Kennung des Dokumentationssystems des Rettungsmittels und der Software-Version;NA+RD;Identifikation des Dokumentationssystems und der Software-Version, mit der die Einsatzdaten erzeugt wurden.;Pflichtfeld in BW;-2;x;CompositionDeEmsMindR4.extension[softwarekennung] (MindSoftwarekennung, valueString).
Strukturdaten;EinsatzNr;Nein;;PatStammdaten;D;E;"Text, je nach Zuordnung des Rettungsmittels zu Leitstelle/Standort bzw. nach Projekt festzulegen
Zeichenlimit: 50";;Je nach Bundesland / Rettungszweckverband festgelegtes eineindeutiges Kennzeichen des Einsatzes.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;x;"EncounterDeEmsDiviR4.identifier[einsatznr] (DIVI-Basis; MIND erbt als EncounterDeEmsMindR4) mit NamingSystem mind-einsatznr (0..1, value 1..1). DIVI-Feld (kein MIND-Kapitel)."
Strukturdaten;PatNr;Nein;;PatStammdaten;D;E;"Text, je nach Zuordnung des Rettungsmittels zu
Leitstelle/Standort bzw. nach Projekt festzulegen Zeichenlimit: 50";;Je nach Bundesland / Rettungszweckverband festgelegtes eineindeutiges Kennzeichen des Patienten.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;x;PatientDeEmsDiviR4.identifier[patnr] mit NamingSystem mind-patnr (0..1). Bewusst nur im DIVI-Patient umgesetzt: PatientDeEmsMindR4 bleibt identifier-frei (Datenschutz). DIVI-Feld (kein MIND-Kapitel).
Strukturdaten;AuftrNr;Nein;;PatStammdaten;D;E;Text, je nach Zuordnung des Rettungsmittels zu Leitstelle/Standort bzw. nach Projekt festzulegen Zeichenlimit: 50;;Je nach Bundesland / Rettungszweckverband festgelegtes eineindeutiges Kennzeichen des RD-Auftrages.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;x;"EncounterDeEmsDiviR4.identifier[auftragnr] (DIVI-Basis; MIND erbt als EncounterDeEmsMindR4) mit NamingSystem mind-auftragnr (0..1, value 1..1). DIVI-Feld (kein MIND-Kapitel)."
Kapitel: RettungstechnischeDaten;Kapitel: RettungstechnischeDaten;;;;;;;;;dieses Kapitel ist immer Pflicht;;;
RettungstechnischeDaten;Primaerschluessel;Ja;RettungstechnischeDaten;;M;E;"eindeutiger Primärschlüssel für alle Fälle pro Jahr
Zeichenlimit 20";NA + RD;"Innerhalb eines Leitstellenbereiches darf in einem Kalenderjahr kein Primärschlüssel mehrfach vergeben werden.
Es ist unbedingt darauf zu achten, dass im NA-Protokoll die NA-Auftragsnummer und im RD-Protokoll die RD-Auftragsnummer verwendet wird!
Bei mehreren Patienten in einem Einsatz, soll von der ""Heimatleitstelle"" für jeden Patienten eine separate Auftragsnummer zugeteilt werden. Diese ist ggf. anzufordern. Dort wo dies leitstellen-/abrechnungsseitig nicht möglich ist, soll der Primärschlüssel im jeweiligen Datensatz durch ein eindeutiges Suffix gekennzeichnet werden (bspw.
Auftragsnummer der Leitstelle ergänzt mit -01 bis -99 oder mit -A bis -Z)";;;x;"Encounter.identifier[primaerschluessel] mit NamingSystem mind-primaerschluessel; Invariante mind-primaerschluessel-laenge (max. 20 Zeichen)."
RettungstechnischeDaten;EinsatzArt;Ja;RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Art des RD-Einsatzes/Notarzteinsatzes
Für die Auswahl des zutreffenden Codes ist der Status zum Zeitpunkt der Alarmierung des dokumentierenden Rettungsmittels durch die Leitstelle maßgeblich.
(d.h. in einem NA-Protokoll dürfen unter EinsatzArt nur Ausprägungen mit dem Inhalt ""mit (physisch anwesendem) NA"" dokumentiert werden, auch wenn der NA nachgefordert wurde und die primäre Alarmierung des RTW ohne NA erfolgte. Im RD-Protokoll dürfen - sofern bei Alarmierung des RTW (noch) keine Alarmierung eines NA/TNA erfolgt ist - unter EinsatzArt nur Ausprägungen mit dem Inhalt ""ohne NA"" dokumentiert werden, auch wenn es später zu einer NA-Nachforderung kam.)
Einsatzarten ""mit (physisch anwesendem) NA"" (01, 03, 05, 07) bzw. ""mit...TNA"" (02, 03, 06, 07) sind immer dann auszuwählen, wenn bis zum Zeitpunkt der Alarmierung des dokumentierenden RM ein NA oder ein TNA ebenfalls alarmiert wurden.
Dienstfahrt und Pause sind organisatorische Einsatzarten, die in keinem Bezug zu einem beabsichtigten oder tatsächlichen Patientenkontakt stehen (beispielsweise Fahrt in die Kfz-Werkstatt). Ein Materialtransport, für den ein Patientenbezug hergestellt werden kann (z.B. Transport eines Inkubators durch einen RTW zu einem anderen Einsatz) ist nicht mit Dienstfahrt zu kodieren.
Wenn ein RTW von der Leitstelle einen Krankentransportauftrag erhalten hat, ist als EinsatzArt Krankentransport auszuwählen.
Codes 09-12 nicht im DIVI Protokoll abgebildet";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Wenn Protokolltyp NA, dann ist EinsatzArt GLEICH  (04 ODER 08 ODER  10) unzulässig.";;x;"Encounter.type mit ValueSet Mind-Einsatzart-VS (required). Mind-Einsatzart-NA-VS/RD-VS definiert, aber nicht gebunden; NA-/RD-Plausibilität nicht erzwungen."
RettungstechnischeDaten;Gemeindeschluessel;Nein;RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;"Amtlicher Gemeindeschlüssel des Einsatzortes
Werteliste siehe Tabellenblatt Codes";NA + RD;"Quelle ist das Statistische Bundesamt. Der Amtliche Gemeindeschlüssel (AGS) ist ein 8-stelliger Schlüssel zur eindeutigen Identifizierung einer Gemeinde mit den Bestandteilen: Bundesland (2 Stellen), Regierungsbezirk (1 Stelle),
Kreis (2 Stellen) und Gemeinde (3 Stellen)";;-2;x;LocationDeEmsMindR4: address.city.extension[ags] mit Invariante mind-ags-format ^[0-9]{8}$. Sonderwerte -1/99999999 nicht darstellbar.
RettungstechnischeDaten;Postleitzahl;Nein;RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;"Postleitzahl des Einsatzortes
Werteliste siehe Tabellenblatt Codes";NA + RD;PLZ des Einsatzortes - diese ist bei Einsätzen am Wohnort des Patienten zumeist der Versichertenkarte zu entnehmen.;;-2;x;Location.address.postalCode. MIND-Sonderwerte (-1, 99999999, 99999998) nicht modellierbar.
RettungstechnischeDaten;GeoEinsatzort;Nein;RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;"Geokoordinaten des Einsatzortes
GPS Geo-Koordinaten im Dezimalformat [WGS 84]";NA + RD;Die Koordinaten werden in der Reihenfolge Breitengrad, Längengrad mit Komma getrennt angegeben. Format: 99.999999,99.999999;;-2;x;LocationDeEmsMindR4: position.latitude/position.longitude (GPS-Koordinaten des Einsatzortes).
RettungstechnischeDaten;EinsatzortTyp;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Beschreibung des Einsatzortes.
Pflicht, außer für Dienstfahrten und Pauseneinsätze";"Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)";-2;x;Location.extension[einsatzorttyp] (MindEinsatzortTyp) mit ValueSet Mind-Einsatzort-Typ-VS.
RettungstechnischeDaten;RDTransport;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";RettungstechnischeDaten;Einsatzverlauf;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Welches Rettungsmittel hat den überwiegenden Anteil des Transports des Patienten (hinsichtlich der Transportstrecke)
durchgeführt?
""Transport durch NAW"" ist nur auszuwählen, wenn es sich bei dem RM von vornherein um einen NAW gehandelt hat (ein RTW, bei dem der NA den Transport begleitet, bleibt ein RTW)
Bei gemeinsamem Einsatz von RTW und NA identische Dokumentation in RD- und NA-Protokoll Pflicht, außer für Dienstfahrten und Pauseneinsätze";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
• Bei Auswahl 01 wird KeinTranspMitPat zum Pflichtfeld
• Bei Auswahl 02 wird KeinTranspOhnePat zum Pflichtfeld
Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)
Wenn EinsatzArt GLEICH  (11 ODER  12), sind sämtliche Inhalte in RDTransport außer -2 unzulässig.";-2;x;ObservationDeEmsMindRdTransport (mind-observationstyp-cs#rd-transport), ValueSet MindRdTransportVS.
RettungstechnischeDaten;AerztlBegleit;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;RettungstechnischeDaten;Einsatzverlauf;DM;M;"Ärztliche Begleitung
Werteliste siehe Tabellenblatt Codes";NA + RD;"Wurde der Transport ärztlich begleitet? Wenn ja, von wem?
Pflicht für NA- und RD-Protokolle bei Einsätzen mit durchgeführtem Transport
Bei gemeinsamem Einsatz von RTW und NA identische Dokumentation in RD- und NA-Protokoll";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Pflicht wenn:
RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06 ODER 07 ODER  08 ODER  09 ODER  98)
Kombinationen mit 00 sind unzulässig";-2;x;ObservationDeEmsMindAerztlicheBegleitung (#aerztliche-begleitung), ValueSet MindAerztlicheBegleitungVS.
RettungstechnischeDaten;NotarztNachgefordert;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;"Physisch anwesender Notarzt wurde nachgefordert
Werteliste siehe Tabellenblatt Codes";NA + RD;"Betrifft nur die Nachforderung eines physisch anwesenden Notarztes (nicht eines Telenotarztes).
NA: Wurden Sie nachgefordert?
RD: Haben Sie einen Notarzt nachgefordert? Falls unbekannt: ""nein"" dokumentieren
Pflicht, außer für Dienstfahrten und Pauseneinsätze
wenn bei Protokolltyp RD eine Einsatzart ausgewählt wurde, die eine primäre Alarmierung eines (physisch anwesendem) NA zum Ausdruck bringt (01, 03, 05, oder 07)  ist die Dokumentation NotarztNachgefordert=ja unzulässig.";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)
Wenn Protokolltyp GLEICH  RD UND EinsatzArt GLEICH  (01 ODER  03 ODER  05 ODER  07), dann ist
NotarztNachgefordert = 01 unzulässig.";-2;x;ObservationDeEmsMindNotarztNachgefordert (#notarzt-nachgefordert), valueBoolean. 'unbekannt' wird wie 'nein' (false) übermittelt.
RettungstechnischeDaten;TNANachgefordert;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;Tele-Notarzt wurde nachgefordert Werteliste siehe Tabellenblatt Codes;NA + RD;"Betrifft nur die Nachforderung eines Telenotarztes (nicht eines physisch anwesenden Notarztes). NA/RD: Haben Sie einen TNA nachgefordert?
Pflicht, außer für Dienstfahrten und Pauseneinsätze
wenn bei Protokolltyp RD eine Einsatzart ausgewählt wurde, die eine primäre Alarmierung eines TNA zum Ausdruck bringt (02, 03, 06, oder 07)  ist die Dokumentation TNANachgefordert=ja unzulässig.";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)
Wenn Protokolltyp GLEICH  RD UND EinsatzArt GLEICH  (02 ODER  03 ODER  06 ODER  07), dann ist
TNANachgefordert = 01 unzulässig.";-2;x;"ObservationDeEmsMindTnaNachgefordert (#tna-nachgefordert), valueBoolean. 'unbekannt' wie 'nein'; Plausibilität (nicht bei TNA-Alarmierung via Einsatzart) nicht erzwungen."
RettungstechnischeDaten;KeinTranspMitPat;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";RettungstechnischeDaten;PatientenTransport;DM;E;"Grund für Einsatz ohne Transport trotz Patientenkontakt
Werteliste siehe Tabellenblatt Codes";NA + RD;"Pflicht für Einsätze ohne Transport trotz Patientenkontakt
nur für Einsätze ohne Transport, aber mit Patientenkontakt; nicht für Einsätze ohne Patientenkontakt (diese sollen unter
KeinTranspOhnePat dokumentiert werden)
02 = primäre Todesfeststellung (ohne CPR): reine Todesfeststellungen ohne Reanimation   (Erstbefunde sind erforderlich, Abschlussbefunde/Diagnosen/RD-Maßnahmen sind nicht erforderlich.)
Der Grund für die nicht durchgeführte Reanimation muss im Feld Reanimationssituation angegeben werden!
Sobald Reanimationsmaßnahmen durchgeführt wurden, darf im Feld KeinTranspMitPat nicht die 02 ausgewählt werden und im Feld Reanimationssituation muss 01  oder 02 oder 03 gewählt werden.
Erfolglose Reanimationen werden mit dem Code 03 = Patient im Einsatzverlauf verstorben dokumentiert.
Wenn Reanimationsmaßnahmen durch andere erfolgten und bei Eintreffen des eigenen RM der ROSC fortbesteht, darf im Feld KeinTranspMitPat nicht die 02 ausgewählt werden und im Feld Reanimationssituation muss 04 gewählt werden.
Die Dokumentation über das Vorliegen eines Einsatzes ohne Transport trotz stattgehabtem Patientenkontakt erfolgt in Kombination mit dem Feld RDTransport (01 = kein Patiententransport, trotz Patientenkontakt).";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Pflicht wenn:
RDTransport GLEICH  01
Wenn RDTransport NICHT  01, sind sämtliche Inhalte in KeinTranspMitPat außer -2 unzulässig.";-2;x;ObservationDeEmsMindKeinTransportMitPatient (#kein-transport-mit-patient), ValueSet MindKeinTransportMitPatientVS.
RettungstechnischeDaten;KeinTranspOhnePat;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;RettungstechnischeDaten;Einsatzverlauf EinsatztechnischeDaten;DM;E;"Grund für Einsatz ohne Transport, da kein Patientenkontakt
Werteliste siehe Tabellenblatt Codes";NA + RD;"Pflicht für Einsätze ohne Transport wegen fehlendem Patientenkontakt
nur für Einsätze ohne Patientenkontakt; nicht für Einsätze mit Patientenkontakt ohne Patiententransport (diese müssen unter KeinTranspMitPat dokumentiert werden)
Die Dokumentation über das Vorliegen eines Einsatzes ohne Transport aufgrund fehlenden Patientenkontakts erfolgt in Kombination mit dem Feld RDTransport (02 = kein Patiententransport, da kein Patientenkontakt).";"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Pflicht wenn:
RDTransport GLEICH  02
Wenn RDTransport NICHT  02, sind sämtliche Inhalte in KeinTranspOhnePat außer -2 unzulässig.";-2;x;ObservationDeEmsMindKeinTransportOhnePatient (#kein-transport-ohne-patient), ValueSet MindKeinTransportOhnePatientVS.
RettungstechnischeDaten;DokRM;Ja;RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;"Rettungsmitteltyp des dokumentierenden
Rettungsmittels
Werteliste siehe Tabellenblatt Codes";NA + RD;Codierung des Rettungsmittels, welches den Einsatz abwickelt und dokumentiert.;"Wenn Protokolltyp NA dann sind DokRM  GLEICH  (02 ODER  03 ODER 10 ODER  11 ODER  12 ODER  15 ODER 17
ODER 18 ODER 20) unzulässig
Wenn Protokolltyp RD dann sind DokRM  GLEICH  (01 ODER 04 ODER  05 ODER  06 ODER  07 ODER 08 ODER  09
ODER 13 ODER  14 ODER  16 ODER 19) unzulässig.";;x;ObservationDeEmsMindDokumentierendesRettungsmittel (#dokumentierendes-rettungsmittel), ValueSet MindDokumentierendesRettungsmittelVS.
RettungstechnischeDaten;BeteilRM;Nein;RettungstechnischeDaten;EinsatztechnischeDaten;DM;M;"Rettungsmitteltyp/en des/der beteiligten Rettungsmittel/s
Werteliste siehe Tabellenblatt Codes";NA + RD;"Codierung der am Einsatz beteiligten Rettungsmittel
Wird in der Regel durch die Leitstelle dokumentiert.";;-2;x;ObservationDeEmsMindBeteiligteRettungsmittel (#beteiligte-rettungsmittel), ValueSet MindBeteiligtesRettungsmittelVS.
RettungstechnischeDaten;AerztlQualifikation;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";RettungstechnischeDaten;EinsatztechnischeDaten;DM;M;"Fachrichtung/Qualifikation des Notarztes/Transportarztes
Werteliste siehe Tabellenblatt Codes";NA;"Pflicht für NA-Protokolle, außer für Dienstfahrten oder Pauseneinsätze
Es ist immer die Fachrichtung/Qualifikation des dokumentierenden Arztes einzutragen";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND EinsatzArt NICHT  (11 ODER  12)";-2;x;ObservationDeEmsMindAerztlicheQualifikation (#aerztliche-qualifikation), ValueSet MindAerztlicheQualifikationVS.
RettungstechnischeDaten;StatusPersonal;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";RettungstechnischeDaten;EinsatztechnischeDaten;DM;E;"Status des Personals
Werteliste siehe Tabellenblatt Codes";NA + RD;"Qualifikation des höchstqualifizierten Mitarbeiters auf dem Rettungsmittel. Beim notarztbesetzten Rettungsmittel die des
Notarztes, beim nicht NA-besetzten Rettungsmittel die des Rettungsdienstmitarbeitenden.
Pflicht, außer für Dienstfahrten und Pauseneinsätze";"Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)";-2;x;ObservationDeEmsMindPersonalstatus (#personalstatus), ValueSet MindPersonalstatusVS.
RettungstechnischeDaten;EinsatzOrtName;Nein;;EinsatztechnischeDaten;D;E;Text, Zeichenlimit 50;;Bei Einsätzen in Ortschaften Ortsname, sonst Bezeichnung der Straße (7.B. BAB98, B16) oder Name der Gemarkung (z.B. Chiemsee);Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RettungstechnischeDaten;EinsatzStrasseName;Nein;;EinsatztechnischeDaten;D;E;Text, Zeichenlimit 100;;"Bei Einsätzen in Ortschaften Straßenname, sonst Wegekilometer der Straße (z.B. Streckenkilometer 122) oder andere
nähere Bezeichnung (z.B. Ostufer)";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RettungstechnischeDaten;KollapsBeobachtet;Nein;;EinsatztechnischeDaten;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Ja, wenn der Moment des Kollapses / der Synkope / des akuten Ereignisses von Umstehnden beobachtet wurde. Nicht ausgefüllt wird wie nein behandelt;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;Nicht umgesetzt (Boolesches Feld). Das Begriffswerk 'Kollaps beobachtet durch' (mind-kollaps-beobachtet-durch-cs) existiert nur für die ZCKB-Ausprägung.
RettungstechnischeDaten;AnkunftVorRettungsdienst;Nein;;EinsatztechnischeDaten;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;"J/N, wenn Notarzt und Rettungsdienst zu getrennten Zeitpunkten am Einsatzort angekommen sind. Nicht ausgefüllt wird gewertet,
wie unbekannt gewertet.";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RettungstechnischeDaten;NotarztName;Nein;;EinsatztechnischeDaten;D;E;Text, Zeichenlimit 100;;Klartext Name des Notarztes, ggf. mit Vornamen und Titel;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RettungstechnischeDaten;AssistenzName;Nein;;EinsatztechnischeDaten;D;E;Text, Zeichenlimit 100;;Klartext Name des höchstqualifizierten Assistenten, ggf. mit Vornamen und Berufsbezeichnung;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RettungstechnischeDaten;TeamName;Nein;;EinsatztechnischeDaten;D;M;Text, Zeichenlimit 100;;Ggf. weitere Teammitglieder erfassen, durch Kommata getrennt;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RettungstechnischeDaten;RufnameFahrzeug;Nein;;EinsatztechnischeDaten;D;M;Text, Zeichenlimit 50;;"Rufname des Fahrzeugs, dessen Einsatz hier dokumentiert wird. Steigt der dokumentierende Notarzt um, so werden
hier beide Rufnamen angegeben.";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RettungstechnischeDaten;FehleinsatzGrund;Nein;;EinsatztechnischeDaten;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Gründe, warum im gegebenen Fall kein Patient behandelt werden konnte bzw. warum ein anders gearteter Einsatz (Geräte-Zubringer etc.) nicht erfolgreich abgeschlossen werden konnte;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
RettungstechnischeDaten;Dokumentierend;Nein;;Bemerkungen;D;E;Text, Zeichenlimit 100;;"Vorname, Name + ggf. Titel und Funktion des Dokumentierenden/Dokumentationsverantwortlichen, ggf. auch siehe
NotarztName oder siehe AssistenzName";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: ZeitenEinsatzablauf;Kapitel: ZeitenEinsatzablauf;;;;;;;;;dieses Kapitel ist immer Pflicht;;;
ZeitenEinsatzablauf;Einsatzdatum;Ja;ZeitenEinsatzablauf;EinsatztechnischeDaten;DM;E;Einsatzdatum;NA + RD;Einsatzdatum bezieht sich auf den Zeitpunkt der Alarmierung.;;;x;Über Encounter.period.start abgebildet (Alarmzeitpunkt inkl. Uhrzeit).
ZeitenEinsatzablauf;SymptombeginnVor24h;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";ZeitenEinsatzablauf;EinsatztechnischeDaten;DM;E;"Bestehen die Symptome länger als 24 Stunden oder ist
dies unbekannt?
Werteliste siehe Tabellenblatt Codes";NA + RD;"Pflicht für NA-Protokolle bei Primäreinsätzen, wenn ein Patientenkontakt stattgefunden hat, außer wenn es sich um eine
primäre Todesfeststellung (ohne CPR) oder eine Hilfeleistung oder eine Unterstützung eines anderen RM handelt.
Pflicht für RD-Protokolle bei Primäreinsätzen ohne erkennbare Beteiligung eines physisch anwesenden NA, wenn ein Patientenkontakt stattgefunden hat, außer wenn es sich um eine primäre Todesfeststellung (ohne CPR) oder eine Hilfeleistung oder eine Unterstützung eines anderen RM handelt.";"Pflicht wenn:
Protokolltyp GLEICH NA
UND RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05 ODER 06
ODER 07 ODER  08 ODER  09 ODER  98)
UND EinsatzArt GLEICH  (01 ODER  03)
UND KeinTranspMitPat NICHT  (02 ODER  05 ODER 08)
ODER
Protokolltyp GLEICH  RD
UND  RDTransport GLEICH  (01 ODER  03 ODER  04 ODER  05 ODER 06
ODER  07 ODER  08 ODER  09 ODER  98)
UND  EinsatzArt GLEICH  (02 ODER  04)
UND  NotarztNachgefordert GLEICH  02
UND  KeinTranspMitPat NICHT  (02 ODER  05 ODER  08)";-2;x;ObservationDeEmsMindSymptombeginnVor24h (#symptombeginn-vor-24h), valueBoolean. MIND 00 (unbekannt) via dataAbsentReason.
ZeitenEinsatzablauf;Symptombeginn;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";ZeitenEinsatzablauf;EinsatztechnischeDaten;DM;E;"Ereigniszeitpunkt, Unfallzeitpunkt, Kollapszeitpunkt,
Zeitpunkt Symptom-/Beschwerdebeginn";NA + RD;"Wenn der Symptombeginn bzw. Unfall-/Ereignis-/Kollapszeitpunkt (bekannt oder geschätzt) innerhalb von 24 Stunden
vor Alarmierung liegt, ist die Uhrzeit hier anzugeben.";"Pflicht wenn:
SymptombeginnVor24h GLEICH  02
UND EinsatzArt NICHT  (11 ODER  12)";"1902-02-
02T22:00
:00.000+
01:00";x;ObservationDeEmsMindSymptombeginn (#symptombeginn), valueDateTime.
ZeitenEinsatzablauf;SymptombeginnGesichert;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";ZeitenEinsatzablauf;EinsatztechnischeDaten;DM;E;"Ist der Symptombeginn gesichert oder geschätzt?
Werteliste siehe Tabellenblatt Codes";NA + RD;"Gibt es belastbare Angaben zum Symptombeginn durch Patienten, Angehörige, Zeugen, etc.?
Pflicht, wenn Symptombeginn innerhalb der letzten 24 Stunden.";"Pflicht wenn:
SymptombeginnVor24h GLEICH  02
UND EinsatzArt NICHT  (11 ODER  12)";-2;x;ObservationDeEmsMindSymptombeginnGesichert (#symptombeginn-gesichert). Boolesche Inversion: true = geschätzt, false = gesichert.
ZeitenEinsatzablauf;ZeitNotfallmeldung;Nein;ZeitenEinsatzablauf;EinsatztechnischeDaten;M;E;"Zeitpunkt Eingang Notfallmeldung
in LST";NA + RD;"Definition: Zeitpunkt des Anrufes (Aufschaltzeitpunkt aus Leitstellen-Datensatz)
Wird in der Leitstelle dokumentiert.";;"1902-02-
02T22:00
:00.000+
01:00";x;ObservationDeEmsMindZeitNotfallmeldung (#zeit-notfallmeldung), valueDateTime.
